fname,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,chroma_0_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,target
03-01-01-01-01-01-01.wav,-913.4503,-3.262114,5.0307784,4.1845326,1.8165896,10.884587,-5.7135525,2.1772084,-4.7037168,-1.420778,-8.757495,-2.1248734,0.4861403,0.47413152,0.44940126,0.46402746,0.37626296,0.49717703,0.510159,0.46485174,0.50485295,0.6496038,0.76120603,0.44938323,1
03-01-01-01-01-02-01.wav,-900.3113,-6.5041723,2.752822,4.317486,3.8368783,11.578413,-7.092093,3.6053529,-4.8461704,-4.0511904,-8.58223,-1.6004386,0.44860223,0.52957493,0.44797698,0.5239693,0.34808162,0.44826627,0.40054357,0.35716203,0.36758566,0.47829652,0.71975803,0.36605987,1
03-01-01-01-02-01-01.wav,-899.71826,0.21710448,6.108999,3.1901584,3.1157305,8.335888,-5.5883107,3.5486934,-5.880011,-2.7007434,-8.386736,-2.8241522,0.5634803,0.4954562,0.45342135,0.5178497,0.37869376,0.3964555,0.4379204,0.4467569,0.47059733,0.54987586,0.5976721,0.43515277,1
03-01-01-01-02-02-01.wav,-892.89905,-7.9769106,6.202071,3.4444816,2.174486,10.439486,-4.672124,5.380224,-6.527963,-4.1737833,-8.261573,-1.8702335,0.55216444,0.38619548,0.3414029,0.40611464,0.36875448,0.43277946,0.46864805,0.38972402,0.40268034,0.48428988,0.6599863,0.41147688,1
03-01-02-01-01-01-01.wav,-915.322,-3.1898987,8.047136,3.9246337,2.84198,10.426728,-5.342012,2.8202598,-6.12831,-1.2917114,-7.985868,-3.8841705,0.34868693,0.4281365,0.48777056,0.52944344,0.31781086,0.36851114,0.51592827,0.46397343,0.47843462,0.54185885,0.6870529,0.34450874,2
03-01-02-01-01-02-01.wav,-914.7961,8.728006,8.9310665,2.8434231,1.794954,13.228121,-4.984653,2.4474385,-6.349831,-1.2211429,-6.078442,-3.7256129,0.4105166,0.3911411,0.39546928,0.53475314,0.40983865,0.41244686,0.5567185,0.5363605,0.5342423,0.55285287,0.5946134,0.45648506,2
03-01-02-01-02-01-01.wav,-860.8402,13.800447,3.4784021,4.237685,1.8578441,9.70224,-5.5723715,5.1575155,-5.642715,-1.3561127,-6.2400913,-3.9553313,0.3389241,0.32680604,0.34517983,0.39033192,0.30966213,0.3289595,0.43153468,0.44016078,0.5324233,0.63285375,0.6977333,0.38639876,2
03-01-02-01-02-02-01.wav,-889.7428,0.11464577,10.535604,1.8741113,2.526053,10.951444,-5.505286,5.3784533,-6.2282653,-2.2565925,-6.211929,-4.0608373,0.27546206,0.24750006,0.25531334,0.4193668,0.30397007,0.3378861,0.43093035,0.38529095,0.49259844,0.5669011,0.7496708,0.37810072,2
03-01-02-02-01-01-01.wav,-911.3354,6.6219373,9.914176,4.1488314,3.037758,11.992315,-4.564091,2.581529,-6.045208,0.34995827,-5.247781,-3.2541,0.34797624,0.34278834,0.3848836,0.46737543,0.427241,0.5235173,0.6530468,0.56255764,0.5112458,0.5158395,0.53597325,0.3793062,2
03-01-02-02-01-02-01.wav,-892.3781,4.9887295,4.6723,3.3661296,0.4876996,12.631203,-7.226474,4.0879526,-8.103904,-1.4515843,-5.6886883,-3.8133807,0.54119676,0.47923526,0.3791492,0.4464833,0.4019696,0.4603218,0.5891811,0.5511808,0.5155193,0.524498,0.59053326,0.45448935,2
03-01-02-02-02-01-01.wav,-858.98737,2.8512487,7.9683743,5.5765224,-2.7447727,11.557429,-5.5685167,5.838924,-10.574625,0.6684196,-8.471823,-3.6834178,0.36732218,0.30560073,0.323601,0.3858337,0.29729876,0.35505295,0.3963272,0.40929776,0.51912487,0.6092278,0.83692336,0.43729708,2
03-01-02-02-02-02-01.wav,-870.6887,2.1681118,0.82815605,3.4264572,2.379338,11.311935,-5.8307776,4.912975,-9.592408,-2.7076852,-7.3827333,-2.6632755,0.3621659,0.33169368,0.33677545,0.43083993,0.38658634,0.4683204,0.5222751,0.44401848,0.40543184,0.5458348,0.74096864,0.44223624,2
03-01-03-01-01-01-01.wav,-863.5991,-0.26895526,3.6212263,1.6523609,1.2027566,9.322373,-9.860088,1.7611444,-8.377031,-3.1287267,-9.884892,-1.6585373,0.5693677,0.591068,0.58845913,0.6739231,0.54471546,0.52788556,0.45147446,0.37861297,0.32919058,0.38457376,0.5687578,0.39524573,3
